sample-id,absolute-filepath,direction
K56r,$PWD/fastq/NZprojK95DHG09_S182_L001_R2_001.fastq,reverse
K13g,$PWD/fastq/NZprojK95DHG10_S183_L001_R1_001.fastq,forward
K13g,$PWD/fastq/NZprojK95DHG10_S183_L001_R2_001.fastq,reverse
K34g,$PWD/fastq/NZprojK95DHG11_S184_L001_R1_001.fastq,forward
K34g,$PWD/fastq/NZprojK95DHG11_S184_L001_R2_001.fastq,reverse
K32g,$PWD/fastq/NZprojK95DHG12_S185_L001_R1_001.fastq,forward
K32g,$PWD/fastq/NZprojK95DHG12_S185_L001_R2_001.fastq,reverse
K18g,$PWD/fastq/NZprojK95DHH02_S186_L001_R1_001.fastq,forward
K18g,$PWD/fastq/NZprojK95DHH02_S186_L001_R2_001.fastq,reverse
K7g,$PWD/fastq/NZprojK95DHH04_S187_L001_R1_001.fastq,forward
K7g,$PWD/fastq/NZprojK95DHH04_S187_L001_R2_001.fastq,reverse
K28g,$PWD/fastq/NZprojK95DHH05_S188_L001_R1_001.fastq,forward
K28g,$PWD/fastq/NZprojK95DHH05_S188_L001_R2_001.fastq,reverse
K21g,$PWD/fastq/NZprojK95DHH06_S189_L001_R1_001.fastq,forward
K21g,$PWD/fastq/NZprojK95DHH06_S189_L001_R2_001.fastq,reverse
# K12g replaced C1
K12g,$PWD/fastq/NZprojK95DHH07_S190_L001_R1_001.fastq,forward
K12g,$PWD/fastq/NZprojK95DHH07_S190_L001_R2_001.fastq,reverse
# C1 replaced K10g
C1,$PWD/fastq/NZprojK95DHH08_S191_L001_R1_001.fastq,forward
C1,$PWD/fastq/NZprojK95DHH08_S191_L001_R2_001.fastq,reverse
# K10g replaced K12g
K10g,$PWD/fastq/NZprojK95DHH09_S192_L001_R1_001.fastq,forward
K10g,$PWD/fastq/NZprojK95DHH09_S192_L001_R2_001.fastq,reverse
K44r,$PWD/fastq/NZprojK95DHH10_S193_L001_R1_001.fastq,forward
K44r,$PWD/fastq/NZprojK95DHH10_S193_L001_R2_001.fastq,reverse
K24g,$PWD/fastq/NZprojK95DHH11_S194_L001_R1_001.fastq,forward
K24g,$PWD/fastq/NZprojK95DHH11_S194_L001_R2_001.fastq,reverse
PCRcontrolK,$PWD/fastq/NZprojK95DHH12_S195_L001_R1_001.fastq,forward
PCRcontrolK,$PWD/fastq/NZprojK95DHH12_S195_L001_R2_001.fastq,reverse
MARSblank1,$PWD/fastq/RID406Blank_S196_L001_R1_001.fastq,forward
MARSblank1,$PWD/fastq/RID406Blank_S196_L001_R2_001.fastq,reverse
##
## Start of ProjP set
1DNA11,$PWD/fastq/1DNA11_S9_L001_R1_001.fastq.gz,forward
1DNA11,$PWD/fastq/1DNA11_S9_L001_R2_001.fastq.gz,reverse
1DNA12,$PWD/fastq/1DNA12_S8_L001_R1_001.fastq.gz,forward
1DNA12,$PWD/fastq/1DNA12_S8_L001_R2_001.fastq.gz,reverse
E3,$PWD/fastq/E3_S115_L001_R1_001.fastq.gz,forward
E3,$PWD/fastq/E3_S115_L001_R2_001.fastq.gz,reverse
E69,$PWD/fastq/E69_S113_L001_R1_001.fastq.gz,forward
E69,$PWD/fastq/E69_S113_L001_R2_001.fastq.gz,reverse
